
#POR

#SPR

#BEL

#BUL_Characters

#SWI

#CHI

#JAP
 JAP_Ciel:0 Ciel
 NIC_carlos_brenes_jarquin:0 "Carlos Brenes Jarquin"
 ELS_maximiliano_hernández_martínez:0 "Maximiliano Hernández Martínez"
 ELS_victoriano_ubico:0 "Victoriano Ubico"
 ELS_benito_ubico:0 "Benito Ubico"
 ELS_bartolomé_vasconcelos:0 "Bartolomé Vasconcelos"
 ELS_hector_escobar_serrano:0 "Hector Escobar Serraño"
 ELS_milton_andrade_cabrera:0 "Milton Andrade Cabrera"
 ELS_humbert_aberle:0 "Humbert Aberle"
 ELS_horacio_carnejo_ibanez:0 "Horacio Carnejo Ibanéz"
 ELS_osmin_aguirre_y_salinas:0 "Osmín Aguirre y Salinas"
 ELS_reinaldo_galindo_pohl:0 "Reinaldo Galindo Pohl"
 ELS_mauro_espinola_castro:0 "Mauro Espínola Castro"
 ELS_jose_angel_castillo:0 "José Angél Castillo"
 ELS_manuel_de_jesus_cordova:0 "Manuel de Jesús Cordova"
 ELS_augustin_farabundo_marti:0 "Augustín Farabundo Martí"
 ELS_manuel_jose_maria_lemus_lopez:0 "Manuel Jose Maria Lemus Lopez"
 ELS_raul_rodolfi_sanchez:0 "Raul Rodolfí Sanchez"
 ELS_ricardo_abrego_abrego:0 "Ricardo Abrego Abrego"
 ELS_humberto_costa:0 "Humberto Costa"
 ELS_oscar_a_bolanos:0 "Oscar A. Bolaños"
 ELS_salvador_castaneda_castro:0 "Salvador Castañeda Castro"
 ELS_jose_maria_cuellar:0 "Jose Maria Cuellar"
 CUB_josé_agripino_barnet:0 "José Agripino Barnet"
 CUB_guillermo_cabral:0 "Guillermo Cabral"
 CUB_wenceslao_carmona:0 "Wenceslao Carmona"
 CUB_gregorio_morales:0 "Gregorio Morales"
 CUB_federico_laredo_bru:0 "Federico Laredo Brú"
 CUB_fidel_castro:0 "Fidél Castro"
 CUB_enrique_c_rolas:0 "Enrique C. Rolas"
 CUB_palaez_menendez:0 "Palaez Menendez"
 CUB_domingo_r_del_toro:0 "Domingo R. del Toro"
 CUB_eduardo_chibas:0 "Eduardo Chibas"
 CUB_juan_blas_hernandez:0 "Juan Blas Hernandez"
 CUB_sergio_carbo:0 "Sergio Carbo"
 CUB_fulgencio_batista:0 "Fulgencio Batista"
 CUB_rodrigo_a_fuentes:0 "Rodrigo A. Fuentes"
 CUB_sandalio_junco:0 "Sandalio Junco"
 CUB_salvador_castaneda_castro:0 "Salvador Castaneda Castro"
 CUB_angel_gonzalez:0 "Angel Gonzalez"
 CUB_julio_sanguily:0 "Julio Sanguily"
 CUB_carlos_prio:0 "Carlos Prio"
 CUB_gerardo_machado:0 "Gerardo Machado"
 CUB_eugenio_molinet_castro:0 "Eugenio Molinet Castro"
 CHL_arturo_alessandri:0 "Arturo Alessandri"
 CHL_jorge_gonzález_von_marées:0 "Jorge González von Marées"
 CHL_carlos_contreras_labarca:0 "Carlos Contreras Labarca"
 CHL_pedro_aguirre_cerda:0 "Pedro Aguirre Cerda"
 CHL_escudero_oscar_otárola:0 "Escudero Oscar Otárola"
 CHL_domingo_blanco:0 "Domingo Blanco"
 CHL_julio_allard_pinto:0 "Julio Allard Pinto"
 CHL_gustavo_silva:0 "Gustavo Silva"
 CHL_jose_luis_sanchez_besa:0 "José Luis Sánchez Besa"
 CHL_marmaduke_grove:0 "Marmaduke Grove"
 CHL_e_novoa_fuentes:0 "E. Novoa Fuentes"
 CHL_dario_mujica_gamboa:0 "Dario Mujica Gamboa"
 CHL_c_j_de_la_motte:0 "C.J. de la Motte"
 CHL_carlos_fuentes_rabe:0 "Carlos Fuentes Rabe"
 CHL_arturo_espinoza_mujica:0 "Arturo Espinoza Mujica"
 CHL_carlos_puga_monsalve:0 "Carlos Puga Monsalve"
 CHL_francisco_o_ryan_orrego:0 "Francisco O'Ryan Orrego"
 CHL_ernesto_m_orlando:0 "Ernesto M. Orlando"
 CHL_dario_cellejas_rojas:0 "Dario Cellejas Rojas"
 CHL_ariosto_herrera:0 "Ariosto Herrera"
 CHL_luis_alamos_barros:0 "Luis Alamos Barros"
 CHL_miguel_cruchaga_tacomal:0 "Miguel Cruchaga Tacomal"
 CHL_gustavo_ross_santa_maria:0 "Gustavo Ross Santa Maria"
 COL_alfonso_lópez_pumarejo:0 "Alfonso López Pumarejo"
 COL_mariano_ospina_pérez:0 "Mariano Ospina Pérez"
 COL_eduardo_santos:0 "Eduardo Santo"
 COL_gustavo_rojas_pinilla:0 "Gustavo Rojas Pinilla"
 COL_david_de_vidal:0 "David de Vidal"
 COL_isidoro_sotomayor:0 "Isidoro Sotomayor"
 COL_eduardo_poirier_escobar:0 "Eduardo Poirier Escobar"
 COL_luis_bernardo_andrade:0 "Luis Bernardo Andrade"
 COL_luis_rodriguez:0 "Luis Rodriguez"
 COL_luis_acevedo:0 "Luis Acevedo"
 COL_enrico_diaz_carias:0 "Enrico Díaz Carias"
 COL_guillermo_padilla_manrique:0 "Guillermo Padilla Manrique"
 COL_gabriel_paris_gordillo:0 "Gabriel Paris Gordillo"
 COL_mauricio_soto_gomez:0 "Mauricio Soto Gomez"
 COL_salvador_tiaga_gonzalez:0 "Salvador Tiaga Gonzalez"
 COL_querista_sellor:0 "Querista Sellor"
 COL_camilo_daza_alvarez:0 "Camilo Daza Alvarez"
 COL_manuel_quinones:0 "Manuel Quinones"
 COL_german_olano_moreno:0 "German Olano Moreno"
 COL_ruben_piedrahita_arango:0 "Ruben Piedrahita Arango"
 COL_jose_ellis_quinsado:0 "José Ellis Quinsado"
 COL_m_e_rojas_de_moreno:0 "M.E. Rojas de Moreno"
 COL_raphael_hollmann:0 "Raphael Hollmann"
 COL_jorge_lopez_suyo:0 "Jorge Lopez Suyo"
 COS_ricardo_jiménez_oreamuno:0 "Ricardo Jiménez Oreamuno"
 COS_josé_maría_barahona:0 "José María Barahona"
 COS_lisandro_barillas:0 "Lisandro Barillas"
 COS_jorge_peralta:0 "Jorge Peralta"
 COS_leon_cortes_castro:0 "León Cortés Castro"
 COS_baptista_e_gutierrez:0 "Baptista E. Gutierrez"
 COS_hugo_montes_ramirez:0 "Hugo Montés Ramirez"
 COS_roberto_juarez_camposino:0 "Roberto Juarez Camposino"
 COS_guillermo_macho_nunez:0 "Guillermo Macho Nuñez"
 COS_luis_fernandez_rodriguez:0 "Luís Fernandéz Rodríguez"
 COS_jorge_volio_jimenez:0 "Jorge Volio Jimenéz"
 COS_manuel_mora_valverde:0 "Manuel Mora Valverde"
 COS_carlos_uribe_alpoveda:0 "Carlos Uribé Alpoveda"
 COS_felipe_abreu_castro:0 "Felipe Abreu Castro"
 COS_francisco_rosendo_arguello:0 "Francisco Rosendo Arguello"
 COS_tobias_picado_cortes:0 "Tobias Picado Cortes"
 COS_oscar_padilla_sellean:0 "Oscar Padilla Sellean"
 COS_hugo_siedler_mendoza:0 "Hugo Siedler Mendoza"
 COS_otto_cortes_fernandez:0 "Otto Cortes Fernandez"
 COS_jose_figueres_ferrer:0 "Jose Figueres Ferrer"
 COS_roberto_brenes_mesen:0 "Roberto Brenes Mesen"
 COS_julio_acosta_garcia:0 "Julio Acosta Garcia"
 COS_chico_orlich_bolmarich:0 "Chico Orlich Bolmarich"
